resource,model,grid_fallback_MWh,cdf
solar,ngboost,133808.66,0.02
solar,ngboost,134108.38,0.04
solar,ngboost,134168.29,0.06
solar,ngboost,134194.1,0.08
solar,ngboost,134288.81,0.1
solar,ngboost,134321.0,0.12
solar,ngboost,134394.63,0.14
solar,ngboost,134405.62,0.16
solar,ngboost,134448.52,0.18
solar,ngboost,134558.88,0.2
solar,ngboost,134582.08,0.22
solar,ngboost,134623.47,0.24
solar,ngboost,134646.67,0.26
solar,ngboost,134685.45,0.28
solar,ngboost,134716.54,0.3
solar,ngboost,134721.28,0.32
solar,ngboost,134742.26,0.34
solar,ngboost,134761.22,0.36
solar,ngboost,134776.49,0.38
solar,ngboost,134793.96,0.4
solar,ngboost,134797.84,0.42
solar,ngboost,134814.18,0.44
solar,ngboost,134838.21,0.46
solar,ngboost,134904.23,0.48
solar,ngboost,134910.62,0.5
solar,ngboost,134927.8,0.52
solar,ngboost,134933.34,0.54
solar,ngboost,134986.37,0.56
solar,ngboost,135021.66,0.58
solar,ngboost,135022.03,0.6
solar,ngboost,135067.97,0.62
solar,ngboost,135073.78,0.64
solar,ngboost,135113.77,0.66
solar,ngboost,135137.05,0.68
solar,ngboost,135157.06,0.7
solar,ngboost,135159.74,0.72
solar,ngboost,135198.92,0.74
solar,ngboost,135212.56,0.76
solar,ngboost,135224.6,0.78
solar,ngboost,135264.43,0.8
solar,ngboost,135275.17,0.82
solar,ngboost,135283.77,0.84
solar,ngboost,135298.24,0.86
solar,ngboost,135299.04,0.88
solar,ngboost,135320.48,0.9
solar,ngboost,135433.63,0.92
solar,ngboost,135464.2,0.94
solar,ngboost,135516.15,0.96
solar,ngboost,135572.07,0.98
solar,ngboost,135627.48,1.0
solar,tabpfn,122679.67,0.02
solar,tabpfn,123087.08,0.04
solar,tabpfn,123345.52,0.06
solar,tabpfn,123401.05,0.08
solar,tabpfn,123439.51,0.1
solar,tabpfn,123566.04,0.12
solar,tabpfn,123774.71,0.14
solar,tabpfn,123827.99,0.16
solar,tabpfn,123841.28,0.18
solar,tabpfn,123913.52,0.2
solar,tabpfn,124010.48,0.22
solar,tabpfn,124070.82,0.24
solar,tabpfn,124113.72,0.26
solar,tabpfn,124123.47,0.28
solar,tabpfn,124248.48,0.3
solar,tabpfn,124254.56,0.32
solar,tabpfn,124261.93,0.34
solar,tabpfn,124408.49,0.36
solar,tabpfn,124432.78,0.38
solar,tabpfn,124437.01,0.4
solar,tabpfn,124552.86,0.42
solar,tabpfn,124559.72,0.44
solar,tabpfn,124561.17,0.46
solar,tabpfn,124735.44,0.48
solar,tabpfn,124760.34,0.5
solar,tabpfn,124826.85,0.52
solar,tabpfn,124828.86,0.54
solar,tabpfn,124862.77,0.56
solar,tabpfn,124878.18,0.58
solar,tabpfn,124948.37,0.6
solar,tabpfn,124991.45,0.62
solar,tabpfn,125002.12,0.64
solar,tabpfn,125217.96,0.66
solar,tabpfn,125352.73,0.68
