month,hour,WindPower_climatology
1,0,22895.486382437248
1,1,22146.941762775023
1,2,22789.031819585936
1,3,24908.822692208258
1,4,26459.411862664016
1,5,26673.138937483596
1,6,26189.518948480087
1,7,25545.156810788732
1,8,57540.08476407401
1,9,100959.61097800922
1,10,129824.5203104073
1,11,142950.3012622682
1,12,144487.04588655918
1,13,143133.30980358433
1,14,140644.04828539153
1,15,125370.15118593222
1,16,66220.16079321723
1,17,21558.078987389763
1,18,15854.792444557192
1,19,17324.1320027286
1,20,19566.736420541365
1,21,21065.461558099727
1,22,22198.29079067285
1,23,23061.620936414653
2,0,22977.492998610232
2,1,20212.085086840874
2,2,18290.73116482613
2,3,18454.802134756832
2,4,18221.357318348357
2,5,17899.28103252682
2,6,18572.73435920399
2,7,23759.233165441674
2,8,73862.43046726765
2,9,120850.93099244958
2,10,145221.40309859673
2,11,146169.53443089323
2,12,149065.4036229954
2,13,156913.9622027713
2,14,159556.06829471394
2,15,154173.38038321974
2,16,126176.37636554574
2,17,50060.33997574106
2,18,29301.649966652258
2,19,33568.72157391868
2,20,32328.709643397975
2,21,29986.86999925375
2,22,27884.30880600443
2,23,25402.992264593868
3,0,22468.274588092
3,1,21108.025206593207
3,2,19287.87636048265
3,3,17433.101001754258
3,4,15498.075746328905
3,5,15320.035488538024
3,6,16050.191400274596
3,7,38310.46455736572
3,8,85855.99876693555
3,9,114527.38739714408
3,10,108574.38401834582
3,11,102971.28109513457
3,12,104910.36580173297
3,13,111525.15060497257
3,14,120506.38338121449
3,15,125377.11890063221
3,16,120853.61792856842
3,17,80201.63769906168
3,18,29536.960562419015
3,19,32491.120123160526
3,20,36587.348712055595
3,21,36610.645114682986
3,22,31870.781453978307
3,23,26656.901132791423
4,0,35765.23411348488
4,1,28846.62463528608
4,2,25285.92550990953
4,3,23057.50291604558
4,4,20577.582174805695
4,5,17942.95595132386
4,6,19450.129190502543
4,7,65668.25114127135
4,8,111137.57601894678
4,9,112014.21954883423
4,10,102525.65837696174
4,11,104536.36008272516
4,12,113245.19560674604
4,13,122856.21890863281
4,14,137233.74879653507
4,15,153400.06473588813
4,16,166288.70305228257
4,17,160151.00878250296
4,18,82637.7082891229
4,19,63114.577644838835
4,20,73373.59841382563
4,21,73807.85062945906
4,22,61205.95901831276
4,23,47185.23469224653
5,0,62585.4372727561
5,1,47623.602908621586
5,2,36716.13025635864
5,3,27860.831349716285
5,4,20948.07071261059
5,5,16511.02999165028
5,6,40136.36934170671
5,7,95644.48673279014
5,8,109554.25676604807
5,9,97868.4297929716
5,10,95204.88452404359
5,11,105248.05760938907
5,12,123810.26163107254
5,13,149738.82451683175
5,14,177768.24426787632
5,15,205547.8865941317
5,16,223698.69250439777
