month,hour,GHI_climatology
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,30.503225806451614
1,9,191.54193548387096
1,10,359.18709677419355
1,11,492.3354838709677
1,12,570.7741935483871
1,13,584.1096774193549
1,14,523.483870967742
1,15,414.7032258064516
1,16,278.3354838709677
1,17,117.14838709677419
1,18,1.232258064516129
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,81.59574468085107
2,9,274.74468085106383
2,10,463.21276595744683
2,11,595.5460992907801
2,12,686.9148936170212
2,13,707.2836879432624
2,14,671.8014184397163
2,15,559.177304964539
2,16,397.468085106383
2,17,212.33333333333334
2,18,42.0709219858156
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
3,0,0.0
3,1,0.0
3,2,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,20.92258064516129
3,8,188.28387096774193
3,9,404.0258064516129
3,10,592.9677419354839
3,11,716.8838709677419
3,12,820.7290322580645
3,13,832.3870967741935
3,14,783.3548387096774
3,15,642.5870967741936
3,16,479.9612903225806
3,17,297.6774193548387
3,18,102.04516129032258
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
4,0,0.0
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.31333333333333335
4,7,119.78666666666666
4,8,329.14666666666665
4,9,544.72
4,10,736.82
4,11,872.08
4,12,953.2333333333333
4,13,955.1533333333333
4,14,895.3333333333334
4,15,765.7933333333333
4,16,593.6533333333333
4,17,384.17333333333335
4,18,174.84666666666666
4,19,10.56
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,29.348387096774193
5,7,204.8516129032258
5,8,420.8
5,9,632.6258064516129
5,10,812.0
5,11,941.0516129032258
5,12,1007.8451612903226
5,13,1018.3806451612903
5,14,951.2516129032258
5,15,820.5612903225806
5,16,657.9483870967742
5,17,453.8258064516129
5,18,240.9806451612903
5,19,52.464516129032255
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
6,0,0.0
6,1,0.0
6,2,0.0
6,3,0.0
6,4,0.0
6,5,0.0
6,6,43.66
6,7,218.09333333333333
6,8,429.37333333333333
6,9,624.1933333333334
6,10,794.82
6,11,923.0933333333334
6,12,998.1533333333333
6,13,1012.8333333333334
6,14,955.2533333333333
6,15,845.5333333333333
6,16,684.9
6,17,494.32
6,18,283.72
6,19,90.50666666666666
6,20,0.0
6,21,0.0
6,22,0.0
6,23,0.0
7,0,0.0
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,20.929032258064517
7,7,161.33548387096775
7,8,352.0451612903226
7,9,534.2967741935483
7,10,697.4645161290323
7,11,828.5354838709677
7,12,904.7741935483871
7,13,923.5225806451613
7,14,889.174193548387
7,15,793.1935483870968
7,16,646.9290322580645
7,17,453.6774193548387
7,18,259.38709677419354
7,19,81.74193548387096
7,20,0.0
7,21,0.0
7,22,0.0
7,23,0.0
8,0,0.0
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.05806451612903226
8,7,121.48387096774194
8,8,314.76774193548385
8,9,517.6516129032258
8,10,692.2322580645161
8,11,826.9290322580645
