timestamp_utc,timestamp_local,wind_power_kw
2024-01-01 00:00:00,2023-12-31 19:00:00,138.59038
2024-01-01 00:00:00,2023-12-31 19:00:00,
2024-01-01 00:00:00,2023-12-31 19:00:00,
2024-01-01 01:00:00,2023-12-31 20:00:00,176.83469
2024-01-01 01:00:00,2023-12-31 20:00:00,
2024-01-01 01:00:00,2023-12-31 20:00:00,
2024-01-01 02:00:00,2023-12-31 21:00:00,268.267
2024-01-01 02:00:00,2023-12-31 21:00:00,
2024-01-01 02:00:00,2023-12-31 21:00:00,
2024-01-01 03:00:00,2023-12-31 22:00:00,408.92862
2024-01-01 03:00:00,2023-12-31 22:00:00,
2024-01-01 03:00:00,2023-12-31 22:00:00,
2024-01-01 04:00:00,2023-12-31 23:00:00,439.24884
2024-01-01 04:00:00,2023-12-31 23:00:00,
2024-01-01 04:00:00,2023-12-31 23:00:00,
2024-01-01 05:00:00,2024-01-01 00:00:00,
2024-01-01 05:00:00,2024-01-01 00:00:00,
2024-01-01 05:00:00,2024-01-01 00:00:00,281.22433
2024-01-01 06:00:00,2024-01-01 01:00:00,
2024-01-01 06:00:00,2024-01-01 01:00:00,221.83018
2024-01-01 06:00:00,2024-01-01 01:00:00,
2024-01-01 07:00:00,2024-01-01 02:00:00,
2024-01-01 07:00:00,2024-01-01 02:00:00,430.41473
2024-01-01 07:00:00,2024-01-01 02:00:00,
2024-01-01 08:00:00,2024-01-01 03:00:00,
2024-01-01 08:00:00,2024-01-01 03:00:00,679.65106
2024-01-01 08:00:00,2024-01-01 03:00:00,
2024-01-01 09:00:00,2024-01-01 04:00:00,
2024-01-01 09:00:00,2024-01-01 04:00:00,
2024-01-01 09:00:00,2024-01-01 04:00:00,842.7728
2024-01-01 10:00:00,2024-01-01 05:00:00,
2024-01-01 10:00:00,2024-01-01 05:00:00,
2024-01-01 10:00:00,2024-01-01 05:00:00,879.0479
2024-01-01 11:00:00,2024-01-01 06:00:00,
2024-01-01 11:00:00,2024-01-01 06:00:00,
2024-01-01 11:00:00,2024-01-01 06:00:00,1049.1464
2024-01-01 12:00:00,2024-01-01 07:00:00,
2024-01-01 12:00:00,2024-01-01 07:00:00,
2024-01-01 12:00:00,2024-01-01 07:00:00,1075.1566
2024-01-01 13:00:00,2024-01-01 08:00:00,
2024-01-01 13:00:00,2024-01-01 08:00:00,
2024-01-01 13:00:00,2024-01-01 08:00:00,1088.2075
2024-01-01 14:00:00,2024-01-01 09:00:00,
2024-01-01 14:00:00,2024-01-01 09:00:00,1198.8903
2024-01-01 14:00:00,2024-01-01 09:00:00,
2024-01-01 15:00:00,2024-01-01 10:00:00,1203.6912
2024-01-01 15:00:00,2024-01-01 10:00:00,
2024-01-01 15:00:00,2024-01-01 10:00:00,
2024-01-01 16:00:00,2024-01-01 11:00:00,1226.8198
2024-01-01 16:00:00,2024-01-01 11:00:00,
2024-01-01 16:00:00,2024-01-01 11:00:00,
2024-01-01 17:00:00,2024-01-01 12:00:00,1111.5243
2024-01-01 17:00:00,2024-01-01 12:00:00,
2024-01-01 17:00:00,2024-01-01 12:00:00,
2024-01-01 18:00:00,2024-01-01 13:00:00,
2024-01-01 18:00:00,2024-01-01 13:00:00,
2024-01-01 18:00:00,2024-01-01 13:00:00,1121.8333
2024-01-01 19:00:00,2024-01-01 14:00:00,
2024-01-01 19:00:00,2024-01-01 14:00:00,1253.3365
2024-01-01 19:00:00,2024-01-01 14:00:00,
2024-01-01 20:00:00,2024-01-01 15:00:00,
2024-01-01 20:00:00,2024-01-01 15:00:00,1292.4757
2024-01-01 20:00:00,2024-01-01 15:00:00,
2024-01-01 21:00:00,2024-01-01 16:00:00,
2024-01-01 21:00:00,2024-01-01 16:00:00,1386.5468
2024-01-01 21:00:00,2024-01-01 16:00:00,
2024-01-01 22:00:00,2024-01-01 17:00:00,
2024-01-01 22:00:00,2024-01-01 17:00:00,771.8364
2024-01-01 22:00:00,2024-01-01 17:00:00,
2024-01-01 23:00:00,2024-01-01 18:00:00,777.2771
2024-01-01 23:00:00,2024-01-01 18:00:00,
2024-01-01 23:00:00,2024-01-01 18:00:00,
2024-01-02 00:00:00,2024-01-01 19:00:00,
2024-01-02 00:00:00,2024-01-01 19:00:00,
2024-01-02 00:00:00,2024-01-01 19:00:00,706.51154
2024-01-02 01:00:00,2024-01-01 20:00:00,
2024-01-02 01:00:00,2024-01-01 20:00:00,
2024-01-02 01:00:00,2024-01-01 20:00:00,677.682
2024-01-02 02:00:00,2024-01-01 21:00:00,
2024-01-02 02:00:00,2024-01-01 21:00:00,
2024-01-02 02:00:00,2024-01-01 21:00:00,804.44763
2024-01-02 03:00:00,2024-01-01 22:00:00,
2024-01-02 03:00:00,2024-01-01 22:00:00,858.19714
2024-01-02 03:00:00,2024-01-01 22:00:00,
2024-01-02 04:00:00,2024-01-01 23:00:00,957.27136
2024-01-02 04:00:00,2024-01-01 23:00:00,
2024-01-02 04:00:00,2024-01-01 23:00:00,
2024-01-02 05:00:00,2024-01-02 00:00:00,1046.793
2024-01-02 05:00:00,2024-01-02 00:00:00,
2024-01-02 05:00:00,2024-01-02 00:00:00,
2024-01-02 06:00:00,2024-01-02 01:00:00,1156.6448
2024-01-02 06:00:00,2024-01-02 01:00:00,
2024-01-02 06:00:00,2024-01-02 01:00:00,
2024-01-02 07:00:00,2024-01-02 02:00:00,
2024-01-02 07:00:00,2024-01-02 02:00:00,
2024-01-02 07:00:00,2024-01-02 02:00:00,1084.1449
2024-01-02 08:00:00,2024-01-02 03:00:00,
2024-01-02 08:00:00,2024-01-02 03:00:00,1277.5745
2024-01-02 08:00:00,2024-01-02 03:00:00,
2024-01-02 09:00:00,2024-01-02 04:00:00,
2024-01-02 09:00:00,2024-01-02 04:00:00,1475.0337
2024-01-02 09:00:00,2024-01-02 04:00:00,
2024-01-02 10:00:00,2024-01-02 05:00:00,
2024-01-02 10:00:00,2024-01-02 05:00:00,943.6186
2024-01-02 10:00:00,2024-01-02 05:00:00,
2024-01-02 11:00:00,2024-01-02 06:00:00,
2024-01-02 11:00:00,2024-01-02 06:00:00,
2024-01-02 11:00:00,2024-01-02 06:00:00,1136.5464
2024-01-02 12:00:00,2024-01-02 07:00:00,
2024-01-02 12:00:00,2024-01-02 07:00:00,
2024-01-02 12:00:00,2024-01-02 07:00:00,1639.5608
2024-01-02 13:00:00,2024-01-02 08:00:00,
2024-01-02 13:00:00,2024-01-02 08:00:00,
2024-01-02 13:00:00,2024-01-02 08:00:00,2025.92
2024-01-02 14:00:00,2024-01-02 09:00:00,
2024-01-02 14:00:00,2024-01-02 09:00:00,
2024-01-02 14:00:00,2024-01-02 09:00:00,2207.183
2024-01-02 15:00:00,2024-01-02 10:00:00,
2024-01-02 15:00:00,2024-01-02 10:00:00,
2024-01-02 15:00:00,2024-01-02 10:00:00,1917.743
2024-01-02 16:00:00,2024-01-02 11:00:00,
2024-01-02 16:00:00,2024-01-02 11:00:00,1349.2987
2024-01-02 16:00:00,2024-01-02 11:00:00,
2024-01-02 17:00:00,2024-01-02 12:00:00,1115.0588
2024-01-02 17:00:00,2024-01-02 12:00:00,
2024-01-02 17:00:00,2024-01-02 12:00:00,
2024-01-02 18:00:00,2024-01-02 13:00:00,1087.6316
2024-01-02 18:00:00,2024-01-02 13:00:00,
2024-01-02 18:00:00,2024-01-02 13:00:00,
2024-01-02 19:00:00,2024-01-02 14:00:00,923.0346
2024-01-02 19:00:00,2024-01-02 14:00:00,
2024-01-02 19:00:00,2024-01-02 14:00:00,
2024-01-02 20:00:00,2024-01-02 15:00:00,912.9845
2024-01-02 20:00:00,2024-01-02 15:00:00,
2024-01-02 20:00:00,2024-01-02 15:00:00,
2024-01-02 21:00:00,2024-01-02 16:00:00,
2024-01-02 21:00:00,2024-01-02 16:00:00,993.1362
2024-01-02 21:00:00,2024-01-02 16:00:00,
2024-01-02 22:00:00,2024-01-02 17:00:00,
2024-01-02 22:00:00,2024-01-02 17:00:00,812.1184
2024-01-02 22:00:00,2024-01-02 17:00:00,
2024-01-02 23:00:00,2024-01-02 18:00:00,
2024-01-02 23:00:00,2024-01-02 18:00:00,570.9773
2024-01-02 23:00:00,2024-01-02 18:00:00,
2024-01-03 00:00:00,2024-01-02 19:00:00,777.86285
2024-01-03 00:00:00,2024-01-02 19:00:00,
2024-01-03 00:00:00,2024-01-02 19:00:00,
2024-01-03 01:00:00,2024-01-02 20:00:00,
2024-01-03 01:00:00,2024-01-02 20:00:00,
2024-01-03 01:00:00,2024-01-02 20:00:00,934.27386
2024-01-03 02:00:00,2024-01-02 21:00:00,
2024-01-03 02:00:00,2024-01-02 21:00:00,
2024-01-03 02:00:00,2024-01-02 21:00:00,1065.3604
2024-01-03 03:00:00,2024-01-02 22:00:00,
2024-01-03 03:00:00,2024-01-02 22:00:00,
2024-01-03 03:00:00,2024-01-02 22:00:00,1199.9094
2024-01-03 04:00:00,2024-01-02 23:00:00,
2024-01-03 04:00:00,2024-01-02 23:00:00,1266.251
2024-01-03 04:00:00,2024-01-02 23:00:00,
2024-01-03 05:00:00,2024-01-03 00:00:00,1373.3551
2024-01-03 05:00:00,2024-01-03 00:00:00,
2024-01-03 05:00:00,2024-01-03 00:00:00,
2024-01-03 06:00:00,2024-01-03 01:00:00,1670.5385
2024-01-03 06:00:00,2024-01-03 01:00:00,
2024-01-03 06:00:00,2024-01-03 01:00:00,
2024-01-03 07:00:00,2024-01-03 02:00:00,1635.3728
2024-01-03 07:00:00,2024-01-03 02:00:00,
2024-01-03 07:00:00,2024-01-03 02:00:00,
2024-01-03 08:00:00,2024-01-03 03:00:00,1413.8499
2024-01-03 08:00:00,2024-01-03 03:00:00,
2024-01-03 08:00:00,2024-01-03 03:00:00,
2024-01-03 09:00:00,2024-01-03 04:00:00,
2024-01-03 09:00:00,2024-01-03 04:00:00,
2024-01-03 09:00:00,2024-01-03 04:00:00,1284.3667
2024-01-03 10:00:00,2024-01-03 05:00:00,
2024-01-03 10:00:00,2024-01-03 05:00:00,777.5699
2024-01-03 10:00:00,2024-01-03 05:00:00,
2024-01-03 11:00:00,2024-01-03 06:00:00,
2024-01-03 11:00:00,2024-01-03 06:00:00,660.6825
